ds,yhat
2021-08-13,24108.429031444088
2021-08-14,21562.52070936887
2021-08-15,21821.900411836665
2021-08-16,21280.883542229483
2021-08-17,23132.645574819515
2021-08-18,21817.552883977456
2021-08-19,23915.493137504665
2021-08-20,24133.64552675864
2021-08-21,21343.30289030214
2021-08-22,21358.884610140005
2021-08-23,20580.678295818343
2021-08-24,22207.63501719291
2021-08-25,20685.54999813293
2021-08-26,22599.252535891745
2021-08-27,22660.24915021568
2021-08-28,19743.435379762675
2021-08-29,19666.018004826845
2021-08-30,18830.188072477456
2021-08-31,20435.871244027552
2021-09-01,18928.888487845845
2021-09-02,20893.151316798812
2021-09-03,21038.335322437597
2021-09-04,18236.64649478994
2021-09-05,18301.82052838038
2021-09-06,17631.893308581537
2021-09-07,19422.066374018177
2021-09-08,18112.997188215275
2021-09-09,20283.134853674077
2021-09-10,20636.541176505852
2021-09-11,18039.807555468968
2021-09-12,18301.20382006367
2021-09-13,17813.593186576487
2021-09-14,19767.433263092622
2021-09-15,18599.189337535397
2021-09-16,20883.77734481302
2021-09-17,21322.473633273516
2021-09-18,18779.89973879991
2021-09-19,19063.216607357586
2021-09-20,18565.061375102436
2021-09-21,20476.54622682458
2021-09-22,19235.64581282439
2021-09-23,21419.591511812523
2021-09-24,21732.71116839413
2021-09-25,19043.32459280322
2021-09-26,19162.83185299695
2021-09-27,18488.530493130555
2021-09-28,20216.484572574114
2021-09-29,18789.775632987326
2021-09-30,20790.757660086776
2021-10-01,20928.758494403402
2021-10-02,18076.841745320686
2021-10-03,18050.76984259437
2021-10-04,17251.707702546722
2021-10-05,18878.992896000276
2021-10-06,17378.304987009953
2021-10-07,19333.858173280554
2021-10-08,19456.06119567738
2021-10-09,16618.25949660493
2021-10-10,16635.700578090153
2021-10-11,15908.261741704144
2021-10-12,17633.26520365494
2021-10-13,16253.711792154092
2021-10-14,18350.555373295385
2021-10-15,18630.459525443013
2021-10-16,15962.648603435551
2021-10-17,16157.990997760497
2021-10-18,15611.850406303403
2021-10-19,17517.026626266565
2021-10-20,16312.113563364901
2021-10-21,18573.893168844705
2021-10-22,19005.203557784
2021-10-23,16471.890442516076
2021-10-24,16781.97701864902
2021-10-25,16328.585865497947
2021-10-26,18302.932582886842
2021-10-27,17142.71759164075
2021-10-28,19424.534084845196
2021-10-29,19851.730220908787
2021-10-30,17291.335089998556
2021-10-31,17553.184532359388
2021-11-01,17032.781823419864
2021-11-02,18924.214865936676
2021-11-03,17668.458643075246
2021-11-04,19845.68358350779
2021-11-05,20163.010854036984
2021-11-06,17491.32721081841
2021-11-07,17644.298674328536
2021-11-08,17021.1212251615
2021-11-09,18819.333250919415
2021-11-10,17483.021408615325
2021-11-11,19595.043205786726
2021-11-12,19864.709637040585
2021-11-13,17164.542436194704
2021-11-14,17309.246694784983
